,ES1,ES2,arrival rate I1,rho1,rho2,approximated sojourn time,Kingman formula sojourn time,simulation sojourn time,CV of inter-arrival at I2,special pod capacity,error_predict_theorem
0,12.5,100,0.04,0.5,0.2,100.019850224663,100.6002097432833,100.1163119143915,0.046779079106496625,20,0.011805555555555554
1,11.904761904761903,100,0.042,0.5,0.2,100.01992505620784,100.60247494434913,99.92742798448008,0.04677928189026165,21,0.011243386243386244
2,11.363636363636365,100,0.044,0.5,0.2,100.01997500624844,100.538200219391,100.02048860489576,0.04150989144711538,22,0.010732323232323232
3,10.869565217391305,100,0.046,0.5,0.2,100.02013768932282,100.51743356696188,99.89851691566058,0.03951165356995045,23,0.010265700483091786
4,10.416666666666666,100,0.048,0.5,0.2,100.02,100.51128148097189,100.06635761236855,0.03930251847775114,24,0.009837962962962962
5,10.0,100,0.05,0.5,0.2,100.01995002498751,100.49382789886305,99.89478834859014,0.03800519541582986,25,0.009444444444444445
6,9.615384615384615,100,0.052000000000000005,0.5,0.2,100.0199000999001,100.48867149730096,100.08302822201044,0.03768997339745024,26,0.009081196581196582
7,9.25925925925926,100,0.054,0.5,0.2,100.02001250156269,100.4600855346241,100.05079784174096,0.035183849989587235,27,0.00874485596707819
8,8.928571428571429,100,0.056,0.5,0.2,100.0199000999001,100.48458547751434,100.00812204592658,0.0373614508427195,28,0.008432539682539682
9,8.620689655172413,100,0.058,0.5,0.2,100.01997500624844,100.45468700204164,100.10450632512097,0.03482047437774967,29,0.008141762452107279
10,8.333333333333334,100,0.06,0.5,0.2,100.02006253908694,100.42109011136932,99.90951591803255,0.03198219890671111,30,0.00787037037037037
11,8.064516129032258,100,0.062,0.5,0.2,100.02021295252412,100.4096920766817,99.91517334704011,0.030830062946455287,31,0.0076164874551971325
12,7.8125,100,0.064,0.5,0.2,100.01992505620784,100.41464204572809,100.11094406501468,0.03169613057270841,32,0.007378472222222222
13,7.575757575757575,100,0.066,0.5,0.2,100.02002500625156,100.40768325223591,100.09580499842956,0.030973932581247338,33,0.007154882154882154
14,7.352941176470588,100,0.068,0.5,0.2,100.02002500625156,100.37620655936726,100.07886179589929,0.02845894167651751,34,0.006944444444444444
15,7.142857142857142,100,0.07,0.5,0.2,100.02011262670504,100.37871902210378,100.01708899973534,0.028527861678758454,35,0.0067460317460317455
16,6.944444444444444,100,0.07200000000000001,0.5,0.2,100.02003751406778,100.35855309619112,99.81204741938431,0.027030545284476768,36,0.006558641975308642
17,6.756756756756757,100,0.074,0.5,0.2,100.01991257649557,100.35289158283481,99.9052208205555,0.026755272491303536,37,0.0063813813813813815
18,6.578947368421053,100,0.076,0.5,0.2,100.02002500625156,100.34195969296961,100.10251917054391,0.025722613630079466,38,0.0062134502923976605
19,6.410256410256411,100,0.078,0.5,0.2,100.02001250156269,100.34525394079216,100.019383239597,0.02600306119336842,39,0.006054131054131054
20,6.25,100,0.08,0.5,0.2,100.02007505629221,100.32322071274983,100.1144522618621,0.02416098083471744,40,0.005902777777777777
21,6.097560975609756,100,0.082,0.5,0.2,100.02005002501251,100.31817783605791,100.13126122513033,0.023790718334521798,41,0.00575880758807588
22,5.952380952380952,100,0.084,0.5,0.2,100.01991257649557,100.31412875570963,100.00338019347731,0.023640631680552453,42,0.005621693121693122
23,5.813953488372093,100,0.08600000000000001,0.5,0.2,100.02007505629221,100.30714420714948,99.87516474819049,0.02287966891279079,43,0.005490956072351421
24,5.6818181818181825,100,0.088,0.5,0.2,100.02018785222292,100.29644985894078,99.95989774334427,0.021895306438135153,44,0.005366161616161616
25,5.555555555555555,100,0.09,0.5,0.2,100.02,100.29423183581183,100.08948887177066,0.0219385468649463,45,0.005246913580246913
26,5.434782608695652,100,0.092,0.5,0.2,100.02006253908694,100.28989237733212,99.86930970583599,0.021519097823145237,46,0.005132850241545893
27,5.319148936170213,100,0.094,0.5,0.2,100.02005002501251,100.27801239219036,100.07396396143011,0.02058549987978221,47,0.005023640661938534
28,5.208333333333333,100,0.096,0.5,0.2,100.0198626888029,100.28025075828954,100.04674031561501,0.02097505102722521,48,0.004918981481481481
29,5.1020408163265305,100,0.098,0.5,0.2,100.019825305715,100.26233428268009,100.05668291644393,0.01957167111176427,49,0.004818594104308391
30,5.0,100,0.1,0.5,0.2,100.01997500624844,100.26089429231376,99.99812325564321,0.019297658929876838,50,0.004722222222222222
31,4.901960784313725,100,0.10200000000000001,0.5,0.2,100.0201627644923,100.26366435192716,100.15389563178262,0.019322873113186933,51,0.004629629629629629
32,4.8076923076923075,100,0.10400000000000001,0.5,0.2,100.02003751406778,100.25819987324948,100.04593683909243,0.019017317886930323,52,0.004540598290598291
33,4.716981132075472,100,0.106,0.5,0.2,100.02001250156269,100.2573719875407,100.1680718842755,0.01897689683496266,53,0.004454926624737945
34,4.62962962962963,100,0.108,0.5,0.2,100.02003751406778,100.24888564741025,100.0090621390881,0.018273574861105566,54,0.004372427983539095
35,4.545454545454546,100,0.11,0.5,0.2,100.0199875015623,100.23746666594495,99.96011872073768,0.01740921254853008,55,0.004292929292929293
36,4.464285714285714,100,0.112,0.5,0.2,100.02003751406778,100.23663484943496,99.94334524744882,0.017295345890478632,56,0.004216269841269841
37,4.385964912280701,100,0.114,0.5,0.2,100.01996251405723,100.24030830529864,100.02804403219157,0.01766076482028012,57,0.004142300194931774
38,4.310344827586206,100,0.116,0.5,0.2,100.02007505629221,100.23700073846116,100.12955214802524,0.0172891715180308,58,0.0040708812260536395
39,4.23728813559322,100,0.11800000000000001,0.5,0.2,100.02,100.21934615024844,99.94819852802786,0.0159476920198754,59,0.004001883239171375
40,4.166666666666667,100,0.12,0.5,0.2,100.02003751406778,100.23003469957906,99.97222701211265,0.016768322441674904,60,0.003935185185185185
41,4.098360655737705,100,0.122,0.5,0.2,100.02,100.21667667304429,99.87068831897693,0.015734133843542712,61,0.003870673952641165
42,4.032258064516129,100,0.124,0.5,0.2,100.02006253908694,100.23034698954368,99.95972831440118,0.016770316023956844,62,0.0038082437275985663
43,3.9682539682539684,100,0.126,0.5,0.2,100.02003751406778,100.20356016702117,100.17239301406896,0.01465432506907848,63,0.003747795414462081
44,3.90625,100,0.128,0.5,0.2,100.02002500625156,100.21017381336354,99.93927484933054,0.015192908684131288,64,0.003689236111111111
45,3.846153846153846,100,0.13,0.5,0.2,100.0199875015623,100.20623698688536,99.88627922118948,0.014909275958677193,65,0.003632478632478632
46,3.7878787878787876,100,0.132,0.5,0.2,100.02007505629221,100.2085444890711,100.08050686940466,0.015021182907620525,66,0.003577441077441077
47,3.731343283582089,100,0.134,0.5,0.2,100.0199375390381,100.2065751033509,100.18191244677132,0.014977781476931469,67,0.0035240464344941957
48,3.676470588235294,100,0.136,0.5,0.2,100.02011262670504,100.20416542634278,100.07357779061081,0.014641771248433615,68,0.003472222222222222
49,3.623188405797101,100,0.138,0.5,0.2,100.02003751406778,100.19727912460989,100.0378274117248,0.014152782421421248,69,0.003421900161030596
50,3.571428571428571,100,0.14,0.5,0.2,100.0199875015623,100.2024661032554,99.92244336902826,0.014607416629779574,70,0.0033730158730158727
51,3.52112676056338,100,0.14200000000000002,0.5,0.2,100.02002500625156,100.19634190625366,99.97840802820669,0.014087737924243551,71,0.003325508607198748
52,3.472222222222222,100,0.14400000000000002,0.5,0.2,100.02006253908694,100.19194275506918,100.02414251431209,0.013707554381826277,72,0.003279320987654321
53,3.4246575342465757,100,0.146,0.5,0.2,100.01997500624844,100.1860936633243,100.12273152948761,0.013306121060270683,73,0.0032343987823439876
54,3.3783783783783785,100,0.148,0.5,0.2,100.02003751406778,100.18880245941199,99.9760841747305,0.01347591880097475,74,0.0031906906906906908
55,3.3333333333333335,100,0.15,0.5,0.2,100.02,100.17892678116037,99.93549006042872,0.01271414249282984,75,0.003148148148148148
56,3.2894736842105265,100,0.152,0.5,0.2,100.0201001001001,100.18085221596473,99.86549877714218,0.012796124601495507,76,0.0031067251461988302
57,3.2467532467532467,100,0.154,0.5,0.2,100.02003751406778,100.17410861531161,100.07553448538764,0.012302612048396524,77,0.003066378066378066
58,3.2051282051282053,100,0.156,0.5,0.2,100.02005002501251,100.17522996609851,100.00807152840767,0.012383421246743832,78,0.003027065527065527
59,3.1645569620253164,100,0.158,0.5,0.2,100.01996251405723,100.17003317994738,99.90711110317501,0.012028197687720434,79,0.0029887482419127987
60,3.125,100,0.16,0.5,0.2,100.02001250156269,100.1812658522462,99.95034921593516,0.012892209416465308,80,0.0029513888888888884
61,3.0864197530864197,100,0.162,0.5,0.2,100.02002500625156,100.16844629298741,100.00129762644582,0.011858875637495958,81,0.0029149519890260627
62,3.048780487804878,100,0.164,0.5,0.2,100.02003751406778,100.16774258815826,99.94566480781697,0.011794283349991136,82,0.00287940379403794
63,3.012048192771084,100,0.166,0.5,0.2,100.01997500624844,100.17129241736848,100.02997874721754,0.01212053977760358,83,0.00284471218206158
64,2.976190476190476,100,0.168,0.5,0.2,100.02001250156269,100.16878249168282,99.99424812564422,0.011894164427494925,84,0.002810846560846561
65,2.941176470588235,100,0.17,0.5,0.2,100.02,100.1646422020624,100.02570802476436,0.01157137616499153,85,0.0027777777777777775
66,2.9069767441860463,100,0.17200000000000001,0.5,0.2,100.02002500625156,100.16343451058518,100.01830865434547,0.011458433722879002,86,0.0027454780361757104
67,2.8735632183908044,100,0.17400000000000002,0.5,0.2,100.0199875015623,100.15744872807235,99.86332634530804,0.011003774620378663,87,0.0027139208173690933
68,2.8409090909090913,100,0.176,0.5,0.2,100.02,100.15020441196684,99.97281064899757,0.010416352957346872,88,0.002683080808080808
69,2.808988764044944,100,0.178,0.5,0.2,100.02003751406778,100.15740449411295,99.91515272483393,0.010968784217885465,89,0.0026529338327091136
70,2.7777777777777777,100,0.18,0.5,0.2,100.01988762642027,100.1578302221759,100.09867426273568,0.011097762424980846,90,0.0026234567901234564
71,2.7472527472527473,100,0.182,0.5,0.2,100.02001250156269,100.16546061488035,100.03860107322079,0.01162858029413161,91,0.0025946275946275945
72,2.717391304347826,100,0.184,0.5,0.2,100.02001250156269,100.17100328851387,99.96322150429054,0.012071717189629799,92,0.0025664251207729465
73,2.6881720430107525,100,0.186,0.5,0.2,100.02002500625156,100.15592195813849,100.10642719319317,0.010858180031884898,93,0.0025388291517323774
74,2.6595744680851063,100,0.188,0.5,0.2,100.01992505620784,100.1636214397385,99.92019478360686,0.011538949313405229,94,0.002511820330969267
75,2.6315789473684212,100,0.19,0.5,0.2,100.02006253908694,100.15369496807153,99.98436906619979,0.010657269523510104,95,0.002485380116959064
76,2.6041666666666665,100,0.192,0.5,0.2,100.0199375390381,100.14589243879199,99.9373199981337,0.010107959624359312,96,0.0024594907407407404
77,2.5773195876288657,100,0.194,0.5,0.2,100.02003751406778,100.14359868848317,100.04089591729809,0.009866387536693498,97,0.002434135166093929
78,2.5510204081632653,100,0.196,0.5,0.2,100.01997500624844,100.14888238314447,100.04282301708493,0.010325493793013627,98,0.0024092970521541954
79,2.525252525252525,100,0.198,0.5,0.2,100.01988762642027,100.14935795832925,100.09214042685188,0.010416151564630454,99,0.002384960718294051
80,2.5,100,0.2,0.5,0.2,100.02,100.14481787978163,100.08559707025408,0.009985430382530344,100,0.002361111111111111
